cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_5071_cell_00393,12,26,41.35693523248832,2.1525957167755814,7628.7,Industrial,buildings,56.7,111.1,2536.9
ghsl_5071_cell_00394,13,26,41.35693523248832,2.1645214548186593,10721.1,Industrial,buildings,34.9,3.1,1570.9
ghsl_5071_cell_00395,14,26,41.35693523248831,2.1764471928617377,2784.2,Utility,buildings,0.0,0.0,701.3
ghsl_5071_cell_00396,15,26,41.35693523248832,2.188372930904815,1.9,Residential,heuristic,0.0,0.0,498.9
ghsl_5071_cell_00397,5,27,41.34792060178384,2.068936101609315,7902.0,Residential,buildings,19.8,9.6,498.9
ghsl_5071_cell_00398,6,27,41.34792060178385,2.080860805364989,9560.2,Industrial,buildings,6.1,11.1,712.2
ghsl_5071_cell_00399,7,27,41.34792060178384,2.0927855091206617,5425.4,Industrial,buildings,24.4,9.4,1585.7
ghsl_5071_cell_00400,8,27,41.34792060178384,2.104710212876335,14831.7,Industrial,buildings,12.5,8.0,2552.2
ghsl_5071_cell_00401,9,27,41.34792060178384,2.1166349166320084,12841.9,Industrial,buildings,16.2,10.8,3503.6
ghsl_5071_cell_00402,10,27,41.34792060178384,2.1285596203876818,9564.3,Industrial,buildings,10.4,6.8,3547.1
ghsl_5071_cell_00403,11,27,41.34792060178385,2.140484324143355,7585.1,Industrial,buildings,7.3,7.6,3492.6
ghsl_5071_cell_00404,12,27,41.34792060178384,2.1524090278990284,11431.7,Industrial,buildings,0.4,5.0,2494.7
ghsl_5071_cell_00405,13,27,41.34792060178384,2.1643337316547018,7368.3,Industrial,buildings,0.1,0.0,1496.8
ghsl_5071_cell_00406,14,27,41.34792060178384,2.1762584354103747,893.7,Utility,buildings,0.0,0.0,498.9
ghsl_5071_cell_00407,6,28,41.33890643745833,2.080680405683984,141.9,Agricultural,buildings,47.3,6.7,499.0
ghsl_5071_cell_00408,7,28,41.33890643745832,2.0926040756305966,307.6,Commercial,buildings,1.6,8.0,1496.9
ghsl_5071_cell_00409,8,28,41.33890643745832,2.1045277455772093,3382.8,Industrial,buildings,6.8,2.7,2494.8
ghsl_5071_cell_00410,9,28,41.33890643745833,2.1164514155238225,6629.9,Industrial,buildings,2.4,10.6,2502.5
ghsl_5071_cell_00411,10,28,41.33890643745832,2.1283750854704357,7992.0,Industrial,buildings,0.9,5.0,2559.7
ghsl_5071_cell_00412,11,28,41.338906437458334,2.1402987554170494,6492.1,Industrial,buildings,1.0,11.1,2896.4
ghsl_5071_cell_00413,12,28,41.33890643745833,2.152222425363662,7443.4,Industrial,buildings,0.0,0.0,2494.8
ghsl_5071_cell_00414,13,28,41.33890643745832,2.1641460953102754,6215.2,Industrial,buildings,0.0,2.7,1496.9
ghsl_5071_cell_00415,14,28,41.33890643745832,2.176069765256888,137.7,Residential,heuristic,0.0,0.0,499.0
ghsl_5071_cell_00416,6,29,41.32989273932101,2.0805000894252585,1620.3,Industrial,buildings,26.2,5.4,499.0
ghsl_5071_cell_00417,7,29,41.329892739321,2.092422726040876,8848.5,Residential,buildings,8.7,8.9,1497.0
ghsl_5071_cell_00418,8,29,41.329892739321,2.104345362656493,6408.5,Industrial,buildings,28.9,6.0,1501.3
ghsl_5071_cell_00419,9,29,41.329892739321004,2.1162679992721105,7098.5,Industrial,buildings,0.5,5.6,1501.4
ghsl_5071_cell_00420,10,29,41.32989273932101,2.1281906358877283,9714.8,Industrial,buildings,0.8,4.3,1589.7
ghsl_5071_cell_00421,11,29,41.32989273932101,2.1401132725033456,9618.6,Industrial,buildings,0.9,3.3,2104.0
ghsl_5071_cell_00422,12,29,41.329892739321004,2.1520359091189634,9219.8,Utility,buildings,0.5,6.8,1575.0
ghsl_5071_cell_00423,13,29,41.32989273932101,2.163958545734581,1216.6,Industrial,buildings,0.0,0.0,1497.0
ghsl_5071_cell_00424,14,29,41.329892739321,2.1758811823501985,99.8,Residential,heuristic,0.0,0.0,499.0
ghsl_5071_cell_00425,6,30,41.32087950718121,2.0803198565400147,5270.1,Industrial,buildings,17.2,12.2,499.0
ghsl_5071_cell_00426,7,30,41.32087950718121,2.092241460302422,14782.9,Residential,buildings,12.5,7.5,500.2
ghsl_5071_cell_00427,8,30,41.32087950718121,2.104163064064829,5279.6,Residential,buildings,34.9,3.2,500.2
ghsl_5071_cell_00428,9,30,41.32087950718121,2.1160846678272365,1237.3,Industrial,buildings,24.4,2.3,500.4
ghsl_5071_cell_00429,10,30,41.32087950718121,2.1280062715896433,3619.4,Industrial,buildings,6.6,4.5,712.3
ghsl_5071_cell_00430,11,30,41.32087950718121,2.13992787535205,5753.9,Industrial,buildings,13.8,1.6,1501.4
ghsl_5071_cell_00431,12,30,41.32087950718121,2.1518494791144565,2459.1,Industrial,buildings,0.1,6.2,701.3
ghsl_5071_cell_00432,13,30,41.32087950718121,2.1637710828768637,0.8,Residential,heuristic,0.0,0.0,500.4
ghsl_5071_cell_00433,14,30,41.3208795071812,2.1756926866392705,151.5,Residential,heuristic,0.0,0.0,499.0
ghsl_5071_cell_00434,10,31,41.31186674084837,2.1278219925263078,3790.5,Industrial,buildings,10.2,3.8,499.0
ghsl_5071_cell_00435,11,31,41.31186674084837,2.1397425639130097,4284.6,Industrial,buildings,0.0,17.6,500.4
ghsl_5071_cell_00436,12,31,41.311866740848366,2.151663135299711,617.6,Industrial,land_use,0.0,0.0,499.0
ghsl_5071_cell_00437,12,32,41.302854440131995,2.151476877624339,26.3,Residential,heuristic,0.0,0.0,499.1
