cell_id:ID(GridCell),city_id,population:float,type,type_source,green_cover_pct:float,elevation_m:float,dist_to_boundary_m:float,centroid_lat:float,centroid_lon:float
ghsl_5929_cell_04382,ghsl_5929,6415.479971349239,Residential,land_use,13.1,71.8,13387.6,35.430333603390636,139.50354201926294
ghsl_5929_cell_04383,ghsl_5929,8878.974898934364,Residential,land_use,7.0,32.2,12852.0,35.43033360339063,139.51487133603064
ghsl_5929_cell_04384,ghsl_5929,7375.237279236317,Civic,land_use,4.7,34.2,11889.2,35.43033360339064,139.5262006527984
ghsl_5929_cell_04385,ghsl_5929,5803.414688363671,Residential,land_use,7.0,22.3,10938.5,35.43033360339064,139.5375299695661
ghsl_5929_cell_04386,ghsl_5929,10479.184609889984,Residential,land_use,6.4,53.3,10003.3,35.43033360339063,139.5488592863338
ghsl_5929_cell_04387,ghsl_5929,15101.520538330078,Residential,land_use,5.1,41.7,9088.5,35.430333603390636,139.5601886031015
ghsl_5929_cell_04388,ghsl_5929,11919.827014386654,Residential,land_use,7.9,56.5,8200.7,35.430333603390636,139.57151791986925
ghsl_5929_cell_04389,ghsl_5929,12391.408329486847,Civic,land_use,3.7,61.7,7349.9,35.430333603390636,139.58284723663695
ghsl_5929_cell_04390,ghsl_5929,13847.94208908081,Civic,land_use,2.7,15.9,6550.3,35.430333603390636,139.59417655340465
ghsl_5929_cell_04391,ghsl_5929,14095.076850891113,Civic,land_use,4.3,5.5,5779.4,35.43033360339064,139.60550587017238
ghsl_5929_cell_04392,ghsl_5929,14987.13236618042,Civic,land_use,3.3,7.9,5009.5,35.430333603390636,139.6168351869401
ghsl_5929_cell_04393,ghsl_5929,14742.972274780273,Civic,land_use,3.3,23.8,4309.5,35.43033360339063,139.62816450370778
ghsl_5929_cell_04394,ghsl_5929,15242.342288970947,Residential,land_use,9.2,38.3,3763.8,35.430333603390636,139.6394938204755
ghsl_5929_cell_04395,ghsl_5929,15441.627296447754,Residential,land_use,0.4,12.2,3208.3,35.430333603390636,139.65082313724324
ghsl_5929_cell_04396,ghsl_5929,13915.803759932518,Commercial,land_use,2.5,13.4,2196.8,35.43033360339063,139.66215245401096
ghsl_5929_cell_04397,ghsl_5929,9291.142946887761,Industrial,land_use,1.5,1.8,1214.8,35.43033360339064,139.67348177077866
ghsl_5929_cell_04398,ghsl_5929,5830.409274540842,Residential,heuristic,0.2,4.4,385.1,35.43033360339064,139.6848110875464
ghsl_5929_cell_04399,ghsl_5929,2024.3836286067963,Commercial,land_use,3.1,4.6,384.8,35.43033360339063,139.95671468997153
ghsl_5929_cell_04400,ghsl_5929,2314.5157672911882,Civic,land_use,2.3,31.2,492.2,35.43033360339064,139.96804400673926
ghsl_5929_cell_04401,ghsl_5929,234.18064529588446,Residential,heuristic,0.5,22.3,384.7,35.43033360339063,139.979373323507
ghsl_5929_cell_04402,ghsl_5929,1275.0820662193,Civic,land_use,22.3,54.4,385.6,35.42159216742159,139.30151400077276
ghsl_5929_cell_04403,ghsl_5929,854.7376866862178,Industrial,land_use,4.8,51.5,1216.0,35.4215921674216,139.31284255068545
ghsl_5929_cell_04404,ghsl_5929,1967.5916737020016,Civic,land_use,6.4,42.1,2198.1,35.42159216742159,139.32417110059808
ghsl_5929_cell_04405,ghsl_5929,4732.49105399102,Residential,land_use,10.2,31.0,3209.6,35.4215921674216,139.3354996505107
ghsl_5929_cell_04406,ghsl_5929,5001.8217504918575,Industrial,land_use,13.2,29.3,4229.5,35.4215921674216,139.34682820042332
