city_id,field_or_dataset,source_name,source_url,download_date,license,notes
ghsl_5929,selection_reason,GHSL UCDB / documented selection,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Boundary metadata or documented city selection; see README.
ghsl_5929,selection_coverage,GHSL UCDB / documented selection,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Boundary metadata or documented city selection; see README.
ghsl_5929,ghsl_GC_UCN_MAI_2025,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field GC_UCN_MAI_2025; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_GC_CNT_GAD_2025,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field GC_CNT_GAD_2025; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_GC_UCA_KM2_2025,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field GC_UCA_KM2_2025; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_GC_POP_TOT_2025,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field GC_POP_TOT_2025; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_GC_DEV_WIG_2025,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field GC_DEV_WIG_2025; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_GC_DEV_USR_2025,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field GC_DEV_USR_2025; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_CL_B01_CUR_2010,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field CL_B01_CUR_2010; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
ghsl_5929,ghsl_CL_B01_P45_2020,GHSL UCDB R2024A V1.2,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_UCDB_GLOBE_R2024A/GHS_UCDB_GLOBE_R2024A/V1-2/GHS_UCDB_GLOBE_R2024A_V1_2.zip,2026-09-19T08:41:50.435893+00:00,European Commission reuse notice: reuse authorised with source acknowledgement,Direct field CL_B01_P45_2020; layer GHSL_UCDB_THEME_CLIMATE_GLOBE_R2024A; exact definition and upstream source in ghsl_indicator_dictionary.csv and official PDF.
